run_id,cycle_id,cycle_start_time,cycle_end_time,cycle_time_sec,avg_vfd1_temp,avg_vfd2_temp,avg_vfd3_temp,avg_vfd4_temp,avg_r01_load,min_r01_load,max_r01_load,avg_r02_load,min_r02_load,max_r02_load,avg_r03_load,min_r03_load,max_r03_load,avg_r04_load,min_r04_load,max_r04_load,stopper1_active_count,stopper2_active_count,stopper3_active_count,stopper4_active_count,stopper5_active_count,defect_label,defect_flag
6,6,"2023-12-11 19:40:17.250","2023-12-11 19:45:11.843",294,88.12500135366689,-3.308438505259688e29,1.5764134057359823e34,-5.653580756905328e32,441.3729216152019,-38,621,1312.03393281303,1251,1362,1816.7757041058703,1321,9895,593.5670173057347,-1240,1385,169,647,15,16,55,NoNose,1
6,7,"2023-12-11 19:45:11.952","2023-12-11 19:50:06.440",294,88.49435075413045,-2.1644540122184795e34,1.4467077071309292e32,1.3283033088526815e30,438.14867617107944,-27,610,1311.267141887305,1228,1382,1813.2657841140528,1317,9692,589.9066530889341,-1258,1373,169,647,15,15,55,NoNose,1
6,8,"2023-12-11 19:50:06.546","2023-12-11 19:55:01.339",294,88.78076536617434,-1.8017632021024073e34,2.692438114786415e25,-8.816630445565238e30,438.23499491353,114,636,1310.8328246863343,1249,1384,1823.290946083418,1316,9770,594.1017293997966,-1194,1310,168,647,15,15,55,NoNose,1
6,9,"2023-12-11 19:55:01.455","2023-12-11 19:59:56.451",294,88.98295648801003,-2.8870432873681088e34,-4.337154761054768e34,3.231623715913535e33,436.617078956286,165,581,1310.160962385632,1243,1362,1813.5299898339547,1311,9857,589.0040664181633,-1328,1329,169,646,15,15,55,NoNose,1
6,10,"2023-12-11 19:59:56.545","2023-12-11 20:04:56.242",299,89.30153581366514,-2.712350633759273e29,-1.1107481187325858e33,-8.857372508635068e32,432.1464309539693,39,602,1309.4773182121414,1209,1362,1798.6454302868578,1303,9175,597.4392928619079,-1186,1354,169,697,14,15,55,NoNose|NoBody2,1
6,11,"2023-12-11 20:04:56.341","2023-12-11 20:10:09.246",312,89.67791624600557,5.204636415979243e33,2.986567690533952e30,-2.4392072335457073e34,440.41182108626197,21,608,1310.5217252396167,1260,1394,1633.6549520766773,1321,8886,595.9421725239616,-1348,1361,196,754,15,15,56,NoNose|NoBody2,1
6,12,"2023-12-11 20:10:09.354","2023-12-11 20:15:03.557",294,89.90397243048906,-1.475184635282111e24,5.526977970904145e28,-8.080547298201223e32,437.94221617946977,83,588,1311.196464989803,1251,1359,1653.2277362338546,1321,8906,601.7535690006798,-1321,1342,169,645,15,15,55,NoNose|NoBody2,1
6,13,"2023-12-11 20:15:03.644","2023-12-11 20:20:24.434",320,90.220111548493,-1.1351470777250627e31,-3.439254987811676e34,-3.683454853796431e32,432.17861596009976,133,599,1310.0561097256857,1242,1368,1626.738778054863,1308,8763,602.9120947630922,-1329,1295,168,775,15,16,56,NoNose|NoBody2,1
6,14,"2023-12-11 20:20:24.542","2023-12-11 20:25:26.042",301,89.92328475394507,-1.4140942335111486e34,7.070516785376909e33,2.6264258441274932e23,428.21665560716656,157,588,1309.963503649635,1238,1377,1654.3171864631718,1310,9192,603.4638354346383,-1135,1301,169,641,15,15,56,NoNose|NoBody2,1
6,15,"2023-12-11 20:25:26.141","2023-12-11 20:30:48.556",322,89.89514774001579,6.393304274205696e29,-1.0301395206607646e33,-5.137179207445135e32,432.34542635658914,183,627,1309.9122480620156,1246,1364,1638.352558139535,1307,9657,604.1556589147286,-1315,1233,168,645,15,15,56,NoNose|NoBody2,1
6,16,"2023-12-11 20:30:48.642","2023-12-11 20:35:43.638",294,89.34618685286885,7.4270414680128075e31,9.013893595391366e33,-1.834828193832599e31,434.95560826838357,139,566,1311.579125720095,1245,1367,1655.1409691629956,1317,8883,598.0664181633344,-1305,1826,168,645,15,15,55,NoNose|NoBody2,1
6,17,"2023-12-11 20:35:43.740","2023-12-11 20:40:37.934",294,89.55903873261835,1.8021937919275228e30,-6.874117329255838e27,-4.349336483860006e34,429.3282364933741,91,647,1311.2035338090384,1227,1396,1651.0543662928983,1303,8535,596.4689092762487,-1330,1349,169,642,15,15,56,NoNose|NoBody2,1
6,18,"2023-12-11 20:40:38.053","2023-12-11 20:45:32.643",294,89.67144985806118,-2.527990449415181e34,-4.3431905299739925e34,1.0794842213078356e27,430.9409569053274,142,601,1311.1761112996267,1245,1378,1652.0570071258908,1315,8842,599.065151001018,-1291,1190,169,642,15,15,56,NoNose|NoBody2,1
6,19,"2023-12-11 20:45:32.746","2023-12-11 20:50:27.556",294,89.74577629618611,-1.0587862070881038e31,-4.331741931498452e34,1.682529850912788e25,427.64925373134326,22,609,1309.8059701492537,1235,1396,1647.6719810040706,1297,8628,600.5729308005427,-1334,1370,168,645,15,15,56,NoNose|NoBody2,1
